TEST,OBS,ESTIMATE,ACTUAL
BASELINE,1,2,7
BASELINE,2,25,39
BASELINE,3,35,49
BASELINE,4,20,34
BASELINE,5,5,8
BASELINE,6,50,57
BASELINE,7,5,14
BASELINE,8,50,57
BASELINE,9,60,73
BASELINE,10,2,9
BASELINE,11,10,22
BASELINE,12,15,32
BASELINE,13,50,56
BASELINE,14,10,21
BASELINE,15,5,10
BASELINE,16,20,36
BASELINE,17,70,80
BASELINE,18,50,59
BASELINE,19,10,22
BASELINE,20,75,79
POST1,1,25,34
POST1,2,5,7
POST1,3,50,49
POST1,4,20,22
POST1,5,30,32
POST1,6,10,8
POST1,7,60,57
POST1,8,10,14
POST1,9,70,73
POST1,10,50,56
POST1,11,15,21
POST1,12,20,22
POST1,13,30,36
POST1,14,70,80
POST1,15,10,9
POST1,16,25,39
POST1,17,55,57
POST1,18,10,10
POST1,19,60,59
POST1,20,80,79
POST2,1,35,38
POST2,2,20,20
POST2,3,25,25
POST2,4,30,38
POST2,5,25,29
POST2,6,80,68
POST2,7,20,31
POST2,8,80,74
POST2,9,5,6
POST2,10,10,17
POST2,11,25,43
POST2,12,15,28
POST2,13,60,62
POST2,14,20,29
POST2,15,25,30
POST2,16,75,63
POST2,17,80,71
POST2,18,20,38
POST2,19,80,74
POST2,20,10,11
